religia_v1;religijność_v2;praktyki_rel_v3;rel_a_edu_v4;rel_a_zaw_v5;rel_a_stud_v6;Zdrowie_v7;Rodzina_v8;Pieniądze_v9;Stabilność_fin_v10;Rozw_v11;Wiara_v12;Wiara_pomaga_v13;Wiara_a_ plany_v14;Wiara_a_stres_v15;Wiara_a_edukacja_v16;Tożsamość_narodowa_v17;Dieta_v18;Ubiór_v19;Rozrywka_v20;Wpływ_wiary_Index;Presja_społeczna_v21;Presja_rodziny_v22;Pozytywnie_v23;Utożsamienie_v24;Obecność_religii_v25;Szkoła_v26;Wigilia_v27;Krzyż_v28;Dyskryminacja_v29;Katolicy_dyskryminacja_v30;Wybór_kierunku_v31;Wiara_a_nauka_v32;Zmiana_wiary_v33;Presja_praktykowania_v34;Presja_ograniczenie_v35;Zmiana_postaw_v36;Oczekiwania_społeczne_v37;Matka_v38;Ojciec_v39;Rozumienie_religijności_v40;Płeć;Rok_urodzenia;Wiek;Miejsce_zamieszkania;Rok_studiów
Ateizm;Zdecydowanie nie;W ogóle nie uczestniczę;absolutnienie;są przydatne tylko w zagadnieniach teologicznych;Tak;Zgadzam się;Nie mam zdania;Zgadzam się;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Raczej się nie zgadzam;Nie zgadzam się;Nie mam zdania;Nie zgadzam się;Zdecydowanie źle;Zdecydowanie tak;Raczej tak;Zdecydowanie negatywnie;Zdecydowanie tak;Zdecydowanie nie;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Nie;Nie;4;1;Zdecydowanie nie;Zdecydowanie nie;jest odpowiednikiem racjonalizmu;Mężczyzna;2002;23;Miasto powyżej 500 tys.;III rok
Ateizm;Zdecydowanie nie;W ogóle nie uczestniczę;NIE;NIE;Nie;Zgadzam się;Raczej się zgadzam;Zgadzam się;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Zdecydowanie źle;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie negatywnie;Zdecydowanie tak;Zdecydowanie nie;Nigdy;Zdecydowanie sprzeczne;Pozostała bez zmian;Rzadko;Nie;1;1;Zdecydowanie nie;Zdecydowanie nie;;Kobieta;2002;23;Miasto powyżej 500 tys.;III rok
Ateizm;Raczej nie;W ogóle nie uczestniczę;Zdecydowanie nie, ponieważ jest to sprawa indywidualna i religia nie powinna mieć wpływu na edukację;Jestem ateistą, stąd też nie mam żadnych wartości religijnych przydatnych w zawodzie;Nie;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Nie zgadzam się;Nie zgadzam się;Nie mam zdania;Nie zgadzam się;Raczej źle;Zdecydowanie tak;Trudno powiedzieć;Raczej negatywnie;Zdecydowanie tak;Zdecydowanie nie;Nigdy;Zdecydowanie sprzeczne;Pozostała bez zmian;Nie;Nie;3;1;Raczej tak;Raczej nie;Wiarą w konkretnego Boga i przestrzeganie zasad, jakimi kieruje dana wiara;Kobieta;2002;23;Miasto od 150 tys. do 500 tys.;III rok
Ateizm;Zdecydowanie nie;W ogóle nie uczestniczę;nie powinna mieć wcale ;niekoniecznie;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Raczej się nie zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Nie zgadzam się;Nie zgadzam się;Nie mam zdania;Nie zgadzam się;Raczej źle;Zdecydowanie tak;Trudno powiedzieć;Trudno powiedzieć;Trudno powiedzieć;Zdecydowanie nie;Nigdy;Zdecydowanie sprzeczne;Pozostała bez zmian;Nie;Nie;1;1;Raczej nie;Raczej nie;dla mnie niczym specjalnym, dopóki ktoś nie usprawiedliwia krzywdzenia innych swoim wyznaniem nie interesuje mnie kto co praktykuje;Mężczyzna;2003;22;Miasto od 150 tys. do 500 tys.;III rok
Ateizm;Zdecydowanie nie;W ogóle nie uczestniczę;Zdecydowanie nie;nie pracuję;Nie;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Raczej się nie zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Nie zgadzam się;Nie zgadzam się;Raczej się nie zgadzam;Nie zgadzam się;Zdecydowanie źle;Zdecydowanie tak;Trudno powiedzieć;Trudno powiedzieć;Raczej tak;Zdecydowanie nie;Nigdy;Raczej sprzeczne;Pozostała bez zmian;Nie;Nie;2;1;Raczej nie;Trudno powiedzieć;;Kobieta;2003;22;Miasto od 150 tys. do 500 tys.;III rok
Kościół rzymskokatolicki;Zdecydowanie nie;Rzadziej niż raz w miesiącu;nie!;tak, bo jednak są one dość mocno związane z wartosciami powszechnie uważanymi za ważne jak np. szacunek do bliźniego, nie kradnij... tego typu sprawy ;Nie;Zgadzam się;Raczej się zgadzam;Zgadzam się;Zgadzam się;Raczej się zgadzam;Raczej się zgadzam;Raczej się nie zgadzam;Nie zgadzam się;Zgadzam się;Nie zgadzam się;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;2.5;Nie zgadzam się;Nie zgadzam się;Raczej się nie zgadzam;Zgadzam się;Zdecydowanie źle;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie pozytywnie;Zdecydowanie nie;Zdecydowanie nie;Nigdy;Raczej zgodne;Pozostała bez zmian;Nie;Nie;1;1;Zdecydowanie nie;Zdecydowanie nie;wiara w zasady i wartosci ktore wynikają z katolickiej nauki społecznej jak terlikowski opowiadal;gender fluid;2001;24;Miasto do 50 tys.;III rok
Kościół rzymskokatolicki;Zdecydowanie tak;Kilka razy w miesiącu;Nie;Nie, nie wiem w jaki sposób miałyby być;Nie;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Raczej się zgadzam;Raczej się zgadzam;Nie mam zdania;Nie mam zdania;Nie mam zdania;Raczej się nie zgadzam;Raczej się zgadzam;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;4.0625;Raczej się nie zgadzam;Raczej się zgadzam;Zgadzam się;Raczej się zgadzam;Raczej źle;Raczej tak;Zdecydowanie tak;Trudno powiedzieć;Raczej nie;Raczej nie;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Tak, czasami;Nie;2;3;Zdecydowanie tak;Raczej tak;Wiarą w coś większego;Mężczyzna;2003;22;Miasto od 150 tys. do 500 tys.;III rok
Kościół rzymskokatolicki;Nie mam zdania;Rzadziej niż raz w miesiącu;Nie;Nie;Tak;Zgadzam się;Zgadzam się;Raczej się zgadzam;Zgadzam się;Raczej się zgadzam;Nie mam zdania;Nie mam zdania;Nie mam zdania;Nie mam zdania;Nie zgadzam się;Raczej się zgadzam;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;2.5;Nie mam zdania;Raczej się zgadzam;Nie mam zdania;Raczej się nie zgadzam;Raczej źle;Zdecydowanie tak;Trudno powiedzieć;Trudno powiedzieć;Raczej nie;Raczej nie;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Tak, czasami;Nie;1;1;Zdecydowanie tak;Zdecydowanie tak;;Kobieta;2002;23;Miasto od 150 tys. do 500 tys.;III rok
Kościół rzymskokatolicki;Raczej nie;Rzadziej niż raz w miesiącu;Nie uważam tak.;Nie, bo nie pracuje.;Nie;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;Nie zgadzam się;0;Nie zgadzam się;Nie zgadzam się;Zgadzam się;Raczej się nie zgadzam;Raczej źle;Raczej tak;Raczej nie;Trudno powiedzieć;Trudno powiedzieć;Raczej nie;Nigdy;Raczej sprzeczne;Pozostała bez zmian;Tak, czasami;Nie;2;3;Raczej tak;Raczej tak;Religijność jest dla mnie nie wiem czym, ciężko mi to ocenić.;Mężczyzna;2002;23;Wieś;III rok
Kościół rzymskokatolicki;Raczej tak;Raz w tygodniu;tak;nie;Tak;Nie mam zdania;Raczej się zgadzam;Zgadzam się;Raczej się zgadzam;Nie mam zdania;Raczej się zgadzam;Nie mam zdania;Nie mam zdania;Raczej się zgadzam;Nie mam zdania;Raczej się zgadzam;Raczej się nie zgadzam;Raczej się nie zgadzam;Raczej się nie zgadzam;4.6875;Raczej się nie zgadzam;Nie zgadzam się;Raczej się zgadzam;Raczej się nie zgadzam;Trudno powiedzieć;Raczej tak;Raczej tak;Raczej pozytywnie;Trudno powiedzieć;Trudno powiedzieć;Nigdy;Ani sprzeczne, ani zgodne;Pozostała bez zmian;Tak, czasami;Nie;1;2;Zdecydowanie tak;Zdecydowanie nie;jest to wiara w istnienie jakiejś idei postępowanie zgodnie z pewnymi ideami;Mężczyzna;2001;24;Miasto od 150 tys. do 500 tys.;III rok
